TransactionID,CustomerID,Date,Amount,Currency,TransactionType
1001,CUST001,2025-07-01,5000,USD,Deposit
1002,CUST001,2025-07-01,4500,USD,Deposit
1003,CUST002,2025-07-01,8000,USD,Deposit
1004,CUST003,2025-07-02,9500,USD,Deposit
1005,CUST001,2025-07-02,3000,USD,Deposit
1006,CUST001,2025-07-02,3500,USD,Deposit
1007,CUST001,2025-07-02,3400,USD,Deposit
1008,CUST004,2025-07-03,12000,USD,Deposit
1009,CUST005,2025-07-03,2000,USD,Deposit
1010,CUST005,2025-07-03,2500,USD,Deposit
1011,CUST005,2025-07-03,2800,USD,Deposit
1012,CUST005,2025-07-03,2600,USD,Deposit
1013,CUST006,2025-07-04,9900,USD,Deposit
1014,CUST007,2025-07-05,500,USD,Deposit
1015,CUST002,2025-07-05,15000,USD,Withdrawal
1016,CUST008,2025-07-06,4000,USD,Deposit
1017,CUST008,2025-07-06,4500,USD,Deposit
1018,CUST008,2025-07-06,1400,USD,Deposit
1019,CUST009,2025-07-07,6000,USD,Deposit
1020,CUST010,2025-07-07,7500,USD,Deposit
1021,CUST001,2025-07-08,2200,USD,Withdrawal
1022,CUST003,2025-07-08,11000,USD,Deposit
1023,CUST004,2025-07-09,1500,USD,Withdrawal
1024,CUST006,2025-07-09,10000,USD,Deposit
1025,CUST007,2025-07-10,800,USD,Deposit
1026,CUST002,2025-07-10,16000,USD,Deposit
1027,CUST008,2025-07-11,5000,USD,Deposit
1028,CUST010,2025-07-11,3000,USD,Withdrawal
1029,CUST003,2025-07-12,1500,USD,Deposit
1030,CUST009,2025-07-12,4500,USD,Deposit1031,CUST025,2025-12-30,2173.06,USD,Withdrawal
1032,CUST003,2025-10-17,7296.21,USD,Deposit
1033,CUST059,2025-10-31,2833.62,USD,Deposit
1034,CUST061,2025-11-28,15022.9,USD,Deposit
1035,CUST049,2025-10-01,5666.6,USD,Withdrawal
1036,CUST002,2025-12-22,17251.93,USD,Withdrawal
1037,CUST088,2025-09-29,9788.93,USD,Deposit
1038,CUST086,2025-12-21,12372.43,USD,Deposit
1039,CUST007,2025-08-15,7620.58,USD,Deposit
1040,CUST094,2025-12-08,298.57,USD,Deposit
1041,CUST008,2025-11-10,12799.8,USD,Deposit
1042,CUST003,2025-11-15,19885.88,USD,Withdrawal
1043,CUST082,2025-08-12,18343.36,USD,Deposit
1044,CUST076,2025-09-04,7159.54,USD,Deposit
1045,CUST078,2025-10-15,16194.86,USD,Deposit
1046,CUST089,2025-07-15,15212.94,USD,Withdrawal
1047,CUST097,2025-07-07,872.31,USD,Deposit
1048,CUST014,2025-12-28,12028.71,USD,Withdrawal
1049,CUST094,2025-11-03,9618.47,USD,Deposit
1050,CUST055,2025-07-22,12575.01,USD,Deposit
1051,CUST061,2025-12-14,14090.05,USD,Deposit
1052,CUST081,2025-08-07,15258.28,USD,Withdrawal
1053,CUST039,2025-11-22,9116.83,USD,Deposit
1054,CUST042,2025-07-07,10077.3,USD,Deposit
1055,CUST097,2025-07-18,6750.52,USD,Withdrawal
1056,CUST003,2025-07-27,7900.39,USD,Withdrawal
1057,CUST018,2025-08-03,17211.26,USD,Deposit
1058,CUST032,2025-07-07,6601.13,USD,Withdrawal
1059,CUST096,2025-12-13,17767.26,USD,Deposit
1060,CUST034,2025-12-22,4139.81,USD,Withdrawal
1061,CUST009,2025-08-18,1585.04,USD,Withdrawal
1062,CUST006,2025-12-16,2069.63,USD,Withdrawal
1063,CUST063,2025-12-12,182.96,USD,Deposit
1064,CUST051,2025-11-19,3503.26,USD,Deposit
1065,CUST037,2025-10-12,5488.29,USD,Deposit
1066,CUST050,2025-08-16,211.69,USD,Deposit
1067,CUST096,2025-08-26,195.83,USD,Withdrawal
1068,CUST011,2025-09-24,11636.1,USD,Withdrawal
1069,CUST022,2025-08-12,11337.23,USD,Deposit
1070,CUST042,2025-08-18,10902.84,USD,Deposit
1071,CUST094,2025-10-18,13642.12,USD,Withdrawal
1072,CUST063,2025-11-18,6139.17,USD,Deposit
1073,CUST022,2025-08-10,18385.46,USD,Deposit
1074,CUST022,2025-08-04,4202.89,USD,Deposit
1075,CUST044,2025-09-08,10627.86,USD,Deposit
1076,CUST080,2025-08-17,4035.25,USD,Deposit
1077,CUST097,2025-09-13,6355.7,USD,Withdrawal
1078,CUST033,2025-12-27,13304.73,USD,Withdrawal
1079,CUST071,2025-12-30,6327.39,USD,Withdrawal
1080,CUST047,2025-12-19,9458.4,USD,Deposit
1081,CUST075,2025-07-07,11688.03,USD,Deposit
1082,CUST061,2025-08-21,19545.39,USD,Withdrawal
1083,CUST001,2025-11-04,7441.47,USD,Withdrawal
1084,CUST018,2025-07-21,9012.92,USD,Deposit
1085,CUST047,2025-08-11,5889.37,USD,Withdrawal
1086,CUST033,2025-07-07,13579.9,USD,Withdrawal
1087,CUST005,2025-07-22,8300.88,USD,Withdrawal
1088,CUST063,2025-10-04,16881.71,USD,Withdrawal
1089,CUST089,2025-10-11,285.62,USD,Withdrawal
1090,CUST024,2025-11-11,11972.42,USD,Withdrawal
1091,CUST043,2025-11-25,5048.88,USD,Withdrawal
1092,CUST060,2025-07-25,10956.43,USD,Deposit
